site,destination,code
ving,Varadero,237
ving,Lettland,42
ving,Riga,439
ving,Litauen,43
ving,Vilnius,82965
ving,Malaysia,45
ving,Langkawi,209
ving,Malackahalvön,126
ving,Kuala Lumpur,219
ving,Penang,205
ving,Maldiverna,46
ving,Maldiverna,329
ving,Malta,15007
ving,Malta,60693
ving,Gozo,108199
ving,Mellieha,74064
ving,St Julian’s & Sliema,34867
ving,St Paul's Bay,42985
ving,Marocko,49
ving,Agadir,322
ving,Marrakech,333
ving,Taghazout,78624
ving,Mauritius,47
ving,Mauritius,171
ving,Mexiko,48
ving,Akumal,55422
ving,Cancún,37917
ving,Playa del Carmen,324
ving,Tulum,495
ving,Nederländerna,50
ving,Amsterdam,340
ving,Dutch Grand Prix,150630
ving,Norge,53
ving,Oslo,388
ving,Polen,82967
ving,Gdansk,98306
ving,Krakow,82968
ving,Sopot,147547
ving,Warszawa,82974
ving,Wroclaw,168941
ving,Portugal,56
ving,Algarve,78607
ving,Albufeira,293
ving,Armacao De Pera,169394
ving,Praia da Rocha,389
ving,Tavira,169393
ving,Vilamoura,328
ving,Lissabon-området,122
ving,Costa da Caparica,475
ving,Estoril/Cascais,290
ving,Lissabon,315
ving,Sesimbra,399
ving,Madeira,124
ving,Canico,78586
ving,Funchal,174
ving,Ponta do Sol,78600
ving,Ribeira Brava,105967
ving,Santo da Serra,56625
ving,Porto,423
ving,Puerto Rico,89200
ving,Puerto Rico,95768
ving,Qatar,57
ving,Doha,542
ving,Qatar Grand Prix,171663
ving,Seychellerna,59083
ving,Seychellerna,63790
ving,Denis Island,63791
ving,La Digue,59047
ving,Mahé,59084
ving,Praslin,63792
ving,Silhouette Island,171577
ving,Singapore,61
ving,Singapore,170
ving,Spanien,65
ving,Barcelona,343
ving,Bilbao,429
ving,Costa Blanca,95
ving,Albir,252
ving,Alicante,477
ving,Benidorm,273
ving,Valencia,265
ving,Costa Brava,97990
ving,Calella,98300
ving,Lloret de Mar,98301
ving,Santa Susanna,98302
ving,Costa del Sol,97
ving,Benalmadena,414
ving,Fuengirola,250
ving,Malaga,549
ving,Marbella,338
ving,Nerja,107965
ving,Torremolinos,204
ving,Costa Dorada,14233
ving,Salou,182
ving,Sitges,301
ving,Fuerteventura,105
ving,Corralejo,235
ving,Costa Calma,36268
ving,El Cotillo,136908
ving,Jandía,278
ving,Gran Canaria,108
ving,Arguineguín,260
ving,Costa Meloneras,194
ving,Las Palmas,279
ving,Maspalomas,244
ving,Playa de Amadores,246
ving,Playa de Taurito,64425
ving,Playa del Cura,296
ving,Playa del Inglés,227
ving,Puerto de Mogán,391
ving,Puerto Rico,325
ving,San Agustin,302
ving,Ibiza,110
ving,Ibiza stad,67807
ving,Playa d´en Bossa,67808
ving,San Antonio,67815
ving,Santa Eulalia,67821
ving,La Gomera,294
ving,Madrid,321
ving,Mallorca,127
ving,Alcudia,169
ving,Cala Bona,441
ving,Cala d'Or,284
ving,Cala Mayor,176
ving,Cala Mesquida,308
ving,Cala Millor,198
ving,Cala Ratjada,193
ving,Cala San Vicente,617
ving,Can Picafort,262
ving,Illetas,163
ving,Palma Nova/Magaluf,289
ving,Palma stad,313
ving,Playa de Palma,259
ving,Port de Andratx,12909
ving,Puerto de Sóller,247
ving,Puerto Pollensa,285
ving,Sa Coma,81884
ving,Santa Ponsa,256
ving,Valldemossa,58674
ving,Menorca,129
ving,Cala Galdana,103081
ving,Cala'n Bosch,103083
ving,Ciutadella,103115
ving,Santo Tomas,103129
ving,Son Bou,103131
ving,Spanish Grand Prix,102437
ving,Teneriffa,149
ving,Los Cristianos,180
ving,Los Gigantes,323
ving,Playa de las Américas,201
ving,Playa Paraiso,11911
ving,Puerto de la Cruz,226
ving,San Miguel de Abona,3823
ving,Santa Cruz,43014
ving,Sri Lanka,15182
ving,Sri Lanka,66302
ving,Bentota,37536
ving,Beruwela,16146
ving,Galle,14999
ving,Hikkaduwa,15000
ving,Marawila,42331
ving,Negombo,15001
ving,St Martin/St Maarten,55031
ving,St Martin / St Maarten,73874
ving,Grand Case,73355
ving,Maho Beach,72475
ving,Orient Bay,72471
ving,Oyster Pond/Dawn Beach,72511
ving,Philipsburg,73354
ving,Storbritannien,73
ving,British Grand Prix,109385
ving,Edinburgh,353
ving,Glasgow,356
ving,London,316
ving,Sverige,66
ving,Jukkasjärvi,150511
ving,Sydafrika,63
ving,Kapstaden,12721
ving,Tanzania,3818
ving,Zanzibar,3819
ving,Thailand,69
ving,Centrala Thailand,93
ving,Bangkok,195
ving,Cha-Am,411
ving,Hua Hin,363
ving,Koh Chang,420
ving,Koh Phangan,14324
ving,Koh Samet,239
ving,Koh Samui,305
ving,Koh Tao,14325
ving,Rayong Beach,277
ving,Krabi,116
ving,Ao Nang,292
ving,Klong Muang,605
ving,Koh Lanta,377
ving,Koh Mook,610
ving,Koh Ngai,369
ving,Phi Phi Island,12723
ving,Railay Beach,12724
ving,Norra Thailand,132
ving,Chiang Mai,449
ving,Chiang Rai,450
ving,Phuket,137
ving,Bangtao Beach,162
ving,Cape Panwa Beach,101473
ving,Kamala Beach,318
ving,Karon Beach,257
ving,Kata Beach,233
ving,Khao Lak,331
ving,Koh Yao Noi,101463
ving,Nai Yang Beach,583
ving,Patong Beach,173
ving,Surin Beach,409
ving,Tjeckien,23
ving,Prag,337
ving,Turkiet,71
ving,Antalya-området,32383
ving,Alanya,299
ving,Antalya,172
ving,Belek,307
ving,Side,215
ving,Istanbul,287
ving,Tyskland,31
ving,Berlin,202
ving,Hamburg,524
ving,München,419
ving,Ungern,33
ving,Budapest,207
ving,Hungarian Grand Prix,102506
ving,USA,74
ving,Florida,102
ving,Clearwater Beach,613
ving,Fort Lauderdale,330
ving,Fort Myers Beach,612
ving,Key West,4070
ving,Miami Beach,4045
ving,Orlando,326
ving,Hawaii,109
ving,Honolulu,359
ving,Maui,385
ving,Västra USA,156
ving,Las Vegas,378
ving,Los Angeles,456
ving,San Diego,455
ving,San Francisco,395
ving,Östra USA,100
ving,Boston,457
ving,Chicago,349
ving,New Orleans,386
ving,New York,166
ving,Washington D.C,408
ving,Vietnam,76
ving,Hanoi,360
ving,Nha Trang,190
ving,Phan Thiet,390
ving,Phu Quoc,483
ving,Saigon,268
ving,Österrike,13
ving,Austrian Grand Prix,103979
ving,Wien,199
ving,Turkiet,7
ving,Sitia,164085
ving,Lesbos,121
ving,Anaxos,185
ving,Eftalou,35665
ving,Molivos,314
ving,Petra,168
ving,Plomari,12972
ving,Skala Eressos,171949
ving,Skala Kallonis,71866
tui,Durres riviera,G-000001136
tui,Vlora,G-000001535
tui,Aruba,G-000000907
tui,Barbados,G-000000904
tui,Rio de Janeiro,G-000001583
tui,Nessebar,G-000000286
tui,Obzor,G-000000287
tui,Pomorie,G-000001180
tui,Sunny Beach,G-000000289
tui,Curacao,G-000001124
tui,Curacao,G-000001124
tui,Bayahibe,G-000000920
tui,Cabarete,G-000136
tui,Juan Dolio,G-000001561
tui,Las Terrenas,G-000137
tui,Playa Dorada,G-000158
tui,Punta Cana,G-000000781
tui,Samana,G-000139
tui,Santo Domingo,G-000001560
tui,Abu Dhabi,G-000000180
tui,Ajman,G-000000628
tui,Bur Dubai,G-000000181
tui,Deira,G-000001279
tui,Downtown Dubai,G-000000216
tui,Dubai Jumeirah Beach,G-000127
tui,Ras al Khaimah,G-000131
tui,Tallinn,G-000001260
tui,Franska alperna,G-000001335
tui,Franska rivieran,G-000000529
tui,Korsika,G-000001067
tui,Lyon,G-000001482
tui,Paris,G-000000802
tui,Aten,G-000000823
tui,Halkidiki,G-000000841
tui,Karpathos,G-000001389
tui,Korfu,G-000000291
tui,Kos,G-000000295
tui,Kreta,G-000000292
tui,Lefkas,G-000001588
tui,Mykonos,G-000001000
tui,Parga-området,G-000001587
tui,Peloponnesos,G-000001524
tui,Rhodos,G-000000293
tui,Samos,G-000000294
tui,Santorini,G-000000816
tui,Thessaloniki,G-000001548
tui,Zakynthos,G-000000653
tui,Bali,G-000000453
tui,Dublin,G-000000886
tui,Reykjavik,G-000001227
tui,Amalfikusten,G-000000730
tui,Bari,G-000000994
tui,Bologna,G-000001476
tui,Bologna,G-000001478
tui,Florens,G-000000844
tui,Gardasjön,G-000001474
tui,Italienska alperna,G-000001308
tui,Lecce,G-000001409
tui,Milano,G-000001360
tui,Pisa,G-000001402
tui,Polignano a Mare,G-000001410
tui,Rimini,G-000001404
tui,Rom,G-000000785
tui,Sardinien,G-000000239
tui,Sicilien,G-000000238
tui,Venedig,G-000000840
tui,Verona,G-000000869
tui,Montego Bay,G-000000165
tui,Negril,G-000000166
tui,Ocho Rios,G-000000168
tui,Dubrovnik-kusten,G-000000533
tui,Istrien,G-000000704
tui,Makarska-rivieran,G-000000562
tui,Zadar-kusten,G-000001140
tui,Havanna,G-000001091
tui,Varadero,G-000001356
tui,Riga,G-000001226
tui,Ari Atoll,G-000067
tui,Baa Atoll,G-000001178
tui,Dhaalu Atoll,G-000001108
tui,Gaafu Alifu Atoll,G-000000699
tui,Haa Dhaalu Atoll,G-000000903
tui,Lhaviyani Atoll,G-000068
tui,Meemu Atoll,G-000000723
tui,Noonu Atoll,G-000069
tui,North Male Atoll,G-000070
tui,Raa Atoll,G-000071
tui,South Male Atoll,G-000074
tui,Gozo,G-000000931
tui,Mellieha,G-000000946
tui,Sliema,G-000000377
tui,St Julian's,G-000000378
tui,St Paul's Bay,G-000000947
tui,Agadir,G-000000695
tui,Marrakech,G-000000697
tui,Bel Ombre,G-000001176
tui,Belle Mare,G-000000491
tui,Blue Bay,G-000000495
tui,Flic en Flac,G-000000595
tui,Grand Baie,G-000000492
tui,Le Morne,G-000000617
tui,Akumal,G-000084
tui,Cancun,G-000086
tui,El Cuyo,G-000001408
tui,Isla de Holbox,G-000087
tui,Playa Mujeres,G-000093
tui,Playa del Carmen,G-000091
tui,Puerto Aventuras,G-000097
tui,Puerto Morelos,G-000099
tui,Tulum,G-000101
tui,Becici,G-000000787
tui,Bijela,G-000001305
tui,Budva,G-000000755
tui,Igalo,G-000001302
tui,Kotor,G-000000899
tui,Kumbor,G-000001304
tui,Lustica Bay,G-000001055
tui,Petrovac,G-000000756
tui,Sveti Stefan,G-000000806
tui,Ulcinj,G-000001125
tui,Amsterdam,G-000000888
tui,Gdansk,G-000001224
tui,Krakow,G-000000872
tui,Sopot,G-000001536
tui,Algarve,G-000000415
tui,Lissabon,G-000000874
tui,Madeira,G-000000413
tui,Porto,G-000001480
tui,Doha,G-000001133
tui,Mahé,G-000000908
tui,Praslin,G-000000909
tui,Singapore,G-000000805
tui,Barcelona,G-000000703
tui,Bilbao,G-000001371
tui,Costa Blanca,G-000000758
tui,Costa Dorada,G-000000738
tui,Costa de la Luz,G-000000737
tui,Costa del Sol,G-000000736
tui,Formentera,G-000000381
tui,Ibiza,G-000000236
tui,Kanarieöarna,G-000000939
tui,Lloret de Mar,G-000001442
tui,Madrid,G-000000848
tui,Mallorca,G-000000234
tui,Menorca,G-000000235
tui,San Sebastián,G-000001578
tui,Sevilla,G-000001492
tui,Ahungalla,G-000000676
tui,Bentota,G-000000677
tui,Hikkaduwa,G-000000678
tui,Waikal,G-000000683
tui,Edinburgh,G-000001373
tui,London,G-000000772
tui,Manchester,G-000000773
tui,Västra Kapprovinsen,G-000001281
tui,Zanzibar,G-000000202
tui,Ao Nang (Krabi),G-000030
tui,Bangkok,G-000008
tui,Hua Hin,G-000009
tui,Khanom,G-000031
tui,Khao Lak,G-000024
tui,Klong Muang Beach (Krabi),G-000032
tui,Koh Chang,G-000010
tui,Koh Hai,G-000000204
tui,Koh Kood,G-000011
tui,Koh Kradan,G-000033
tui,Koh Lanta,G-000034
tui,Koh Samet,G-000013
tui,Koh Samui,G-000014
tui,Phuket,G-000007
tui,Prag,G-000000774
tui,Antalyakusten,G-000000243
tui,Bodrumkusten,G-000000245
tui,Istanbul,G-000001131
tui,Marmariskusten,G-000000244
tui,Berlin,G-000000775
tui,München,G-000001364
tui,Boston,G-000000895
tui,Chicago,G-000001419
tui,Florida,G-000000220
tui,Las Vegas,G-000000891
tui,Los Angeles,G-000000896
tui,New Orleans,G-000001153
tui,New York,G-000000761
tui,San Diego,G-000001414
tui,San Francisco,G-000000897
tui,Washington DC,G-000001439
tui,Budapest,G-000001362
tui,Da Nang,G-000001129
tui,Phu Quoc,G-000000651
tui,Innsbruck (österrikiska alperna),G-000001325
tui,Salzburg (österrikiska alperna),G-000001324
tui,Wien,G-000001368
apollo,Frankrike,FR
apollo,Spanien,ES
apollo,Norge,NO
apollo,Finland,FI
apollo,Danmark,DK
apollo,Turkiet,TR
apollo,Malta,MT
apollo,Estland,EE
apollo,Lettland,LV
apollo,Tjeckien,CZ
apollo,Ungern,HU
apollo,Irland,IE
apollo,Italien,IT
apollo,Polen,PL
apollo,Storbritannien,GB
apollo,Tyskland,DE
apollo,Holland,NL
apollo,Österrike,AT
apollo,Grekland,GR
apollo,Montenegro,ME
apollo,Kroatien,HR
apollo,Portugal,PT
apollo,Cypern,CY
apollo,Bulgarien,BG
apollo,Albanien,AL
apollo,Georgien,GE
apollo,Sydafrika,ZA
apollo,Tunisien,TN
apollo,Mauritius,MU
apollo,Egypten,EG
apollo,Marocko,MA
apollo,Gambia,GM
apollo,Japan,JP
apollo,Singapore,SG
apollo,Förenade Arabemiraten,AE
apollo,Maldiverna,MV
apollo,Thailand,TH
apollo,Malaysia,MY
apollo,Indonesien,ID
apollo,Sri Lanka,LK
apollo,Vietnam,VN
apollo,USA,US
apollo,Mexiko,MX
apollo,Aruba,AW
apollo,St Martin,MF
apollo,Curaçao,CW
apollo,Dominikanska republiken,DO
apollo,Costa Rica,CR
apollo,Kanada,CA
apollo,Brasilien,BR
apollo,Nice,@taciid519677
apollo,Paris,@taciid513906
apollo,Korsika,@taciid521514
apollo,Madrid,@taciid332420
apollo,Barcelona,@taciid513862
apollo,Alicante,@taciid521667
apollo,Ibiza,@taciid322580
apollo,Costa del Sol,@taciid546599
apollo,Torremolinos & Benalmadena,@taciid169244
apollo,Fuengirola,@taciid1245864
apollo,"Nerja, Benamocarra & Viñuela",@taciid168160
apollo,Marbella & Puerto Banus,@taciid545880
apollo,Estepona,@taciid169565
apollo,Malaga,@taciid521564
apollo,Mallorca,@taciid321608
apollo,Playa de Palma,@taciid321617
apollo,Alcudia & Playa de Muro,@taciid321609
apollo,Cala Millor,@taciid512223
apollo,Palma,@taciid549764
apollo,Palma Nova & Magaluf,@taciid321610
apollo,Puerto de Sóller,@taciid321611
apollo,Fuerteventura,@taciid321784
apollo,Corralejo,@taciid321802
apollo,El Cotillo & Majanicho,@taciid159249
apollo,Playitas Resort,@taciid321878
apollo,Caleta de Fuste,@taciid321785
apollo,Costa Calma & Tarajalejo,@taciid321835
apollo,Jandia,@taciid321855
apollo,Menorca,@taciid1254845
apollo,Gran Canaria,@taciid321891
apollo,Puerto de Mogán & Taurito,@taciid322148
apollo,San Agustín,@taciid321892
apollo,Las Palmas,@taciid322174
apollo,Maspalomas,@taciid322240
apollo,Playa del Inglés,@taciid321920
apollo,Puerto Rico,@taciid322047
apollo,Salobre,@taciid498549
apollo,Meloneras,@taciid322208
apollo,Playa de Amadores,@taciid155466
apollo,Arguineguin/Patalavaca,@taciid427425
apollo,Bahia Feliz,@taciid1250143
apollo,Lanzarote,@taciid322258
apollo,Playa Blanca,@taciid322259
apollo,Puerto del Carmen,@taciid322299
apollo,Teneriffa,@taciid322386
apollo,Los Gigantes & Playa de la Arena,@taciid322504
apollo,Puerto de la Cruz,@taciid322471
apollo,Playa de las Americas,@taciid322409
apollo,Los Cristianos,@taciid322387
apollo,Callao Salvaje,@taciid322525
apollo,Golf del Sur,@taciid1210977
apollo,Kryssningar,@taciid1624399
